state_code,state_ai_exposure,tot_emp,ai_penetration
1,0.345,118430,0.607
2,0.361,108710,0.695
4,0.328,106600,0.98
5,0.335,128660,0.269
6,0.255,63060,0.16
8,0.321,120510,0.686
9,0.359,124200,0.91
10,0.381,101430,0.97
11,0.418,90290,0.93
12,0.309,92530,0.957
13,0.315,114550,0.507
15,0.357,112500,0.136
16,0.353,130100,0.615
17,0.308,103940,0.452
18,0.331,122800,0.298
19,0.34,130500,0.42
20,0.345,132550,0.391
21,0.339,137880,0.191
22,0.333,123110,0.665
23,0.338,125180,0.419
24,0.346,121880,0.76
25,0.329,99740,0.859
26,0.324,118740,0.146
27,0.351,118450,0.398
28,0.334,131170,0.695
29,0.322,122550,0.19
30,0.354,121390,0.299
31,0.354,123980,0.561
32,0.347,115990,0.229
33,0.347,115870,0.654
34,0.319,113730,0.947
35,0.372,121580,0.745
36,0.297,79530,0.911
37,0.302,116080,0.244
38,0.339,111910,0.366
39,0.314,108070,0.47
40,0.328,122170,0.112
41,0.361,135140,0.988
42,0.319,122190,0.738
44,0.362,112060,0.446
45,0.352,136230,0.67
46,0.327,112630,0.543
47,0.331,127010,0.342
48,0.312,69370,0.941
49,0.338,131960,0.439
50,0.356,102180,0.168
51,0.307,106270,0.572
53,0.334,125520,0.447
54,0.329,135630,0.536
55,0.332,128100,0.31
56,0.335,94360,0.856
66,0.296,33740,0.139
72,0.365,113390,0.49
78,0.316,23800,0.877
