soc_code,weighted_beta
11-1011,0.3706543119724374
11-1021,0.5
11-2011,0.4969664501547422
11-2021,0.4461698881315395
11-2022,0.49249345547084783
11-2033,0.49999999999999994
11-3012,0.4354153109192875
11-3013,0.32437293663798
11-3021,0.4758530471155259
11-3031,0.48185215490076905
11-3051,0.34114021465718064
11-3061,0.4981123044998592
11-3071,0.4797665638431729
11-3111,0.36567679370163164
11-3121,0.49102764076599686
11-3131,0.4678480316907384
11-9013,0.25411623726633165
11-9021,0.3583917381657632
11-9031,0.34957137517663
11-9032,0.2815316907118033
11-9033,0.42966353448908795
11-9041,0.4304390669449907
11-9051,0.3204685491366759
11-9071,0.38492584572568794
11-9072,0.2921761500257007
11-9081,0.4347275059998217
11-9111,0.4467622703864366
11-9121,0.4797523137830285
11-9131,0.48422238794722045
11-9141,0.4222177064234887
11-9151,0.3040544317193311
11-9161,0.42293189085552924
11-9171,0.24213602764125935
11-9179,0.3741545396168755
11-9199,0.4479945876455653
13-1011,0.46584947748797473
13-1021,0.5
13-1022,0.47543705034246664
13-1023,0.4898721265454127
13-1031,0.4957159339152041
13-1032,0.5000000000000001
13-1041,0.4283200252090975
13-1051,0.5
13-1071,0.49401158396487344
13-1074,0.15027512698173534
13-1075,0.4710853239481152
13-1081,0.4680960427194647
13-1111,0.3866490994736349
13-1121,0.4244917605004217
13-1131,0.44888832207715623
13-1141,0.411649991620824
13-1151,0.5
13-1161,0.49999999999999994
13-1199,0.4639331466348049
13-2011,0.5
13-2022,0.5
13-2023,0.4828607909193956
13-2031,0.48211262981899855
13-2041,0.5
13-2052,0.49616082983199733
13-2053,0.49999999999999994
13-2061,0.4549062499487524
13-2071,0.494111123886274
13-2072,0.47474434643349994
13-2081,0.47904057886426776
13-2082,0.5
13-2099,0.49650235953734795
15-1211,0.49185643790879363
15-1212,0.5
15-1221,0.47090531517682044
15-1231,0.4391781087890848
15-1232,0.39468181118240697
15-1241,0.45768211116077173
15-1242,0.5
15-1243,0.5
15-1244,0.4680741413029338
15-1251,0.5
15-1252,0.4881878240890646
15-1253,0.4899145253007835
15-1254,0.49999999999999994
15-1255,0.5
15-1299,0.5
15-2011,0.5
15-2021,0.45931414581427266
15-2031,0.48015922020087504
15-2041,0.5000000000000001
15-2051,0.5
15-2099,0.48919198788758417
17-1011,0.4744159033819841
17-1012,0.38902436941181395
17-1021,0.5
17-1022,0.4369852989411895
17-2011,0.45443902715008627
17-2021,0.36124426328167447
17-2031,0.4967516767086293
17-2041,0.45475117358783795
17-2051,0.4551123933274153
17-2061,0.4310270498861342
17-2071,0.3806589770638404
17-2072,0.4506465415083372
17-2081,0.4908159220084416
17-2111,0.420939320981102
17-2112,0.46992224014621864
17-2121,0.3885282684369168
17-2131,0.4334573080287142
