onet_code,onet_id
11-1011,0
11-1021,1
11-1031,2
11-2011,3
11-2021,4
11-2022,5
11-2032,6
11-2033,7
11-3012,8
11-3013,9
11-3021,10
11-3031,11
11-3051,12
11-3061,13
11-3071,14
11-3111,15
11-3121,16
11-3131,17
11-9013,18
11-9021,19
11-9031,20
11-9032,21
11-9033,22
11-9039,23
11-9041,24
11-9051,25
11-9071,26
11-9072,27
11-9081,28
11-9111,29
11-9121,30
11-9131,31
11-9141,32
11-9151,33
11-9161,34
11-9171,35
11-9179,36
11-9199,37
13-1011,38
13-1020,39
13-1031,40
13-1032,41
13-1041,42
13-1051,43
13-1071,44
13-1074,45
13-1075,46
13-1081,47
13-1082,48
13-1111,49
13-1121,50
13-1131,51
13-1141,52
13-1151,53
13-1161,54
13-1199,55
13-2011,56
13-2020,57
13-2031,58
13-2041,59
13-2051,60
13-2052,61
13-2053,62
13-2054,63
13-2061,64
13-2071,65
13-2072,66
13-2081,67
13-2082,68
13-2099,69
15-1211,70
15-1212,71
15-1221,72
15-1231,73
15-1232,74
15-1241,75
15-1242,76
15-1243,77
15-1244,78
15-1251,79
15-1252,80
15-1253,81
15-1254,82
15-1255,83
15-1299,84
15-2011,85
15-2021,86
15-2031,87
15-2041,88
15-2051,89
15-2099,90
17-1011,91
17-1012,92
17-1021,93
17-1022,94
17-2011,95
17-2021,96
17-2031,97
17-2041,98
17-2051,99
17-2061,100
17-2071,101
17-2072,102
17-2081,103
17-2111,104
17-2112,105
17-2121,106
17-2131,107
17-2141,108
17-2151,109
17-2161,110
17-2171,111
17-2199,112
17-3011,113
17-3012,114
17-3013,115
17-3019,116
17-3021,117
17-3022,118
17-3023,119
17-3024,120
17-3025,121
17-3026,122
17-3027,123
17-3028,124
17-3029,125
17-3031,126
19-1011,127
19-1012,128
19-1013,129
19-1021,130
19-1022,131
19-1023,132
19-1029,133
19-1031,134
19-1032,135
19-1041,136
19-1042,137
19-1099,138
19-2011,139
19-2012,140
19-2021,141
19-2031,142
19-2032,143
19-2041,144
19-2042,145
19-2043,146
19-2099,147
19-3011,148
19-3022,149
19-3032,150
19-3033,151
19-3034,152
19-3039,153
19-3041,154
19-3051,155
19-3091,156
19-3092,157
19-3093,158
19-3094,159
19-3099,160
19-4012,161
19-4013,162
19-4021,163
19-4031,164
19-4042,165
19-4043,166
19-4044,167
19-4051,168
19-4061,169
19-4071,170
19-4092,171
19-4099,172
19-5011,173
19-5012,174
21-1012,175
21-1013,176
21-1015,177
21-1018,178
21-1019,179
21-1021,180
21-1022,181
21-1023,182
21-1029,183
21-1091,184
21-1092,185
21-1093,186
21-1094,187
21-1099,188
21-2011,189
21-2021,190
21-2099,191
23-1011,192
23-1012,193
23-1021,194
23-1022,195
23-1023,196
23-2011,197
23-2093,198
23-2099,199
25-1011,200
25-1021,201
25-1022,202
25-1031,203
25-1032,204
25-1041,205
25-1042,206
25-1043,207
25-1051,208
25-1052,209
25-1053,210
25-1054,211
25-1061,212
25-1062,213
25-1063,214
25-1064,215
25-1065,216
25-1066,217
25-1067,218
25-1069,219
25-1071,220
25-1072,221
25-1081,222
25-1082,223
25-1111,224
25-1112,225
25-1113,226
25-1121,227
25-1122,228
25-1123,229
25-1124,230
25-1125,231
25-1126,232
25-1192,233
25-1193,234
25-1194,235
25-1199,236
25-2011,237
25-2012,238
25-2021,239
25-2022,240
25-2023,241
25-2031,242
25-2032,243
25-2051,244
25-2052,245
25-2057,246
25-2058,247
25-2059,248
25-3011,249
25-3021,250
25-3031,251
25-3041,252
25-3099,253
25-4011,254
25-4012,255
25-4013,256
25-4022,257
25-4031,258
25-9021,259
25-9031,260
25-9044,261
25-9045,262
25-9099,263
27-1011,264
27-1012,265
27-1013,266
27-1014,267
27-1019,268
27-1021,269
27-1022,270
27-1023,271
27-1024,272
27-1025,273
27-1026,274
27-1027,275
27-1029,276
27-2011,277
27-2012,278
27-2021,279
27-2022,280
27-2023,281
27-2031,282
27-2032,283
27-2041,284
27-2042,285
27-2091,286
27-2099,287
27-3011,288
27-3023,289
27-3031,290
27-3041,291
27-3042,292
27-3043,293
27-3091,294
27-3092,295
27-3099,296
27-4011,297
27-4012,298
27-4014,299
27-4015,300
27-4021,301
27-4031,302
27-4032,303
27-4099,304
29-1011,305
29-1021,306
29-1022,307
29-1023,308
29-1024,309
29-1029,310
29-1031,311
29-1041,312
29-1051,313
29-1071,314
29-1081,315
29-1122,316
29-1123,317
29-1124,318
29-1125,319
29-1126,320
29-1127,321
29-1128,322
29-1129,323
29-1131,324
29-1141,325
29-1151,326
29-1161,327
29-1171,328
29-1181,329
29-1211,330
29-1212,331
29-1213,332
29-1214,333
29-1215,334
29-1216,335
29-1217,336
29-1218,337
29-1221,338
29-1222,339
29-1223,340
29-1224,341
29-1229,342
29-1241,343
29-1242,344
29-1243,345
29-1249,346
29-1291,347
29-1292,348
29-1299,349
29-2010,350
29-2031,351
29-2032,352
29-2033,353
29-2034,354
29-2035,355
29-2036,356
29-2042,357
29-2043,358
29-2051,359
29-2052,360
29-2053,361
29-2055,362
29-2056,363
29-2057,364
29-2061,365
29-2072,366
29-2081,367
29-2091,368
29-2092,369
29-2099,370
29-9021,371
29-9091,372
29-9092,373
29-9093,374
29-9099,375
31-1120,376
31-1131,377
31-1132,378
31-1133,379
31-2011,380
31-2012,381
31-2021,382
31-2022,383
31-9011,384
31-9091,385
31-9092,386
31-9093,387
31-9094,388
31-9095,389
31-9096,390
31-9097,391
31-9099,392
33-1011,393
33-1012,394
33-1021,395
33-1091,396
33-1099,397
33-2011,398
33-2021,399
33-2022,400
33-3011,401
33-3012,402
33-3021,403
33-3031,404
33-3041,405
33-3051,406
33-3052,407
33-9011,408
33-9021,409
33-9031,410
33-9032,411
33-9091,412
33-9092,413
33-9093,414
33-9094,415
33-9099,416
35-1011,417
35-1012,418
35-2011,419
35-2012,420
35-2013,421
35-2014,422
35-2015,423
35-2019,424
35-2021,425
35-3011,426
35-3023,427
35-3031,428
35-3041,429
35-9011,430
35-9021,431
35-9031,432
35-9099,433
37-1011,434
37-1012,435
37-2011,436
37-2012,437
37-2019,438
37-2021,439
37-3011,440
37-3012,441
37-3013,442
37-3019,443
39-1013,444
39-1014,445
39-1022,446
39-2011,447
39-2021,448
39-3011,449
39-3012,450
39-3019,451
39-3021,452
39-3031,453
39-3091,454
39-3092,455
39-3093,456
39-3099,457
39-4011,458
39-4012,459
39-4021,460
39-4031,461
39-5011,462
39-5012,463
39-5091,464
39-5092,465
39-5093,466
39-5094,467
39-6011,468
39-6012,469
39-7010,470
39-9011,471
39-9031,472
39-9032,473
39-9041,474
39-9099,475
41-1011,476
41-1012,477
41-2011,478
41-2012,479
41-2021,480
41-2022,481
41-2031,482
41-3011,483
41-3021,484
41-3031,485
41-3041,486
41-3091,487
41-4011,488
41-4012,489
41-9011,490
41-9012,491
41-9021,492
41-9022,493
41-9031,494
41-9041,495
41-9091,496
41-9099,497
43-1011,498
43-2011,499
43-2021,500
43-2099,501
43-3011,502
43-3021,503
43-3031,504
43-3041,505
43-3051,506
43-3061,507
43-3071,508
43-3099,509
43-4011,510
43-4021,511
43-4031,512
43-4041,513
43-4051,514
43-4061,515
43-4071,516
43-4081,517
43-4111,518
43-4121,519
43-4131,520
43-4141,521
43-4151,522
43-4161,523
43-4171,524
43-4181,525
43-4199,526
43-5011,527
43-5021,528
43-5031,529
43-5032,530
43-5041,531
43-5051,532
43-5052,533
43-5053,534
43-5061,535
43-5071,536
43-5111,537
43-6011,538
43-6012,539
43-6013,540
43-6014,541
43-9021,542
43-9022,543
43-9031,544
43-9041,545
43-9051,546
43-9061,547
43-9071,548
43-9081,549
43-9111,550
43-9199,551
45-1011,552
45-2011,553
45-2021,554
45-2041,555
45-2091,556
45-2092,557
45-2093,558
45-2099,559
45-4011,560
45-4021,561
45-4022,562
45-4023,563
45-4029,564
47-1011,565
47-2011,566
47-2021,567
47-2022,568
47-2031,569
47-2041,570
47-2042,571
47-2043,572
47-2044,573
47-2051,574
47-2053,575
47-2061,576
47-2071,577
47-2072,578
47-2073,579
47-2081,580
47-2082,581
47-2111,582
47-2121,583
47-2131,584
47-2132,585
47-2141,586
47-2142,587
47-2151,588
47-2152,589
47-2161,590
47-2171,591
47-2181,592
47-2211,593
47-2221,594
47-2231,595
47-3011,596
47-3012,597
47-3013,598
47-3014,599
47-3015,600
47-3016,601
47-3019,602
47-4011,603
47-4021,604
47-4031,605
47-4041,606
47-4051,607
47-4061,608
47-4071,609
47-4090,610
47-5011,611
47-5012,612
47-5013,613
47-5022,614
47-5023,615
47-5032,616
47-5041,617
47-5043,618
47-5044,619
47-5049,620
47-5051,621
47-5071,622
47-5081,623
47-5099,624
49-1011,625
49-2011,626
49-2021,627
49-2022,628
49-2091,629
49-2092,630
49-2093,631
49-2094,632
49-2095,633
49-2096,634
49-2097,635
49-2098,636
49-3011,637
49-3021,638
49-3022,639
49-3023,640
49-3031,641
49-3041,642
49-3042,643
49-3043,644
49-3051,645
49-3052,646
49-3053,647
49-3091,648
49-3092,649
49-3093,650
49-9011,651
49-9012,652
49-9021,653
49-9031,654
49-9041,655
49-9043,656
49-9044,657
49-9045,658
49-9051,659
49-9052,660
49-9061,661
49-9062,662
49-9063,663
49-9064,664
49-9069,665
49-9071,666
49-9081,667
49-9091,668
49-9092,669
49-9094,670
49-9095,671
49-9096,672
49-9097,673
49-9098,674
49-9099,675
51-1011,676
51-2011,677
51-2021,678
51-2028,679
51-2031,680
51-2041,681
51-2051,682
51-2061,683
51-2090,684
51-3011,685
51-3021,686
51-3022,687
51-3023,688
51-3091,689
51-3092,690
51-3093,691
51-3099,692
51-4021,693
51-4022,694
51-4023,695
51-4031,696
51-4032,697
51-4033,698
51-4034,699
51-4035,700
51-4041,701
51-4051,702
51-4052,703
51-4061,704
51-4062,705
