state_fips,cbsa_fips
01,10700
01,10760
01,11500
01,12220
01,13820
01,17980
01,18980
01,19300
01,19460
01,20020
01,21460
01,21640
01,22520
01,22840
01,23460
01,26620
01,29300
01,33660
01,33860
01,37120
01,40770
01,42460
01,42820
01,45180
01,45980
01,46220
02,11260
02,21820
02,27940
02,28540
04,22380
04,29420
04,35700
04,37740
04,38060
04,39150
04,40940
04,43320
04,43420
04,46060
04,49740
05,11660
05,12900
05,14180
05,15780
05,20980
05,22220
05,22620
05,22900
05,25460
05,26300
05,27860
05,30780
05,31620
05,31680
05,32820
05,34260
05,37500
05,38220
05,40780
05,42620
05,45500
06,12540
06,13860
06,17020
06,17340
06,18860
06,20940
06,21700
06,23420
06,23820
06,25260
06,31080
06,32900
06,33700
06,34900
06,37100
06,39780
06,39820
06,40140
06,40900
06,41500
06,41740
06,41860
06,41940
06,42020
06,42100
06,42200
06,42220
06,43760
06,44700
06,45000
06,46020
06,46380
06,46700
06,47300
06,49700
08,10480
08,14500
08,14720
08,15860
08,17820
08,19740
08,20420
08,20780
08,22660
08,22820
08,24300
08,24540
08,33940
08,39380
08,40090
08,44460
08,44540
09,14860
09,25540
09,35300
09,35980
09,39480
09,45860
09,47930
10,20100
10,37980
10,42580
11,47900
12,11580
12,15980
12,17500
12,18880
12,19660
12,23540
12,26140
12,27260
12,28580
12,29380
12,29460
12,33100
12,34940
12,35840
12,36100
12,36380
12,36740
12,37260
12,37340
12,37460
12,37860
12,38940
12,39460
12,42680
12,42700
12,45220
12,45300
12,48680
13,10500
13,11140
13,12020
13,12060
13,12260
13,12460
13,15260
13,15660
13,16340
13,16860
13,17980
13,18380
13,18460
13,19140
13,20060
13,20140
13,21640
13,22340
13,23580
13,25980
13,27600
13,27700
13,28680
13,29300
13,31420
13,33300
13,34220
13,40660
13,42340
13,44340
13,44900
13,45580
13,45620
13,45700
13,45740
13,46660
13,47080
13,47580
13,48180
15,25900
15,27980
15,28180
15,46520
16,13940
16,14260
16,14940
16,15420
16,17660
16,25200
16,26820
16,27220
16,30300
16,30860
16,34140
16,34300
16,36620
16,38540
16,39940
16,41760
16,46300
17,14010
17,15460
17,15900
17,16020
17,16060
17,16460
17,16580
17,16660
17,16980
17,19180
17,19340
17,19500
17,19940
17,20820
17,23300
17,23660
17,27300
17,28100
17,30660
17,31380
17,32060
17,34500
17,36837
17,37140
17,37900
17,38700
17,39500
17,40300
17,40420
17,41180
17,44100
17,44580
17,45380
18,11420
18,12140
18,13260
18,14020
18,16980
18,17140
18,18020
18,18220
18,18820
18,19540
18,21140
18,21780
18,23060
18,23140
18,24600
18,24700
18,26540
18,26900
18,27540
18,28340
18,29020
18,29200
18,30900
18,31140
18,31500
18,31980
18,33140
18,33900
18,34620
18,35220
18,37940
18,38500
18,39980
18,42980
18,43780
18,45460
18,47180
18,47340
18,47700
18,47780
19,11180
19,15460
19,16140
19,16300
19,17540
19,19340
19,19780
19,20220
19,22700
19,22800
19,26980
19,30180
19,32260
19,32380
19,34700
19,36540
19,36820
19,36900
19,37800
19,43580
19,43980
19,44020
19,44740
19,47940
20,11680
20,11860
20,19980
20,21380
20,23780
20,24460
20,25700
20,26740
20,27900
20,28140
20,29940
20,30580
20,31740
20,32700
20,36840
20,38260
20,41140
20,41460
20,45820
20,48620
21,14540
21,15820
21,17140
21,17300
21,18340
21,19220
21,21060
21,23180
21,23190
21,23980
21,25775
21,26580
21,30460
21,31140
21,31580
21,32460
21,33180
21,34460
21,34660
21,36980
21,37140
21,38210
21,40080
21,43700
22,10780
22,12940
22,14220
22,19760
22,25220
22,26380
22,29180
22,29340
22,33380
22,33740
22,34020
22,35020
22,35060
22,35340
22,35380
22,36660
22,40820
22,43340
22,43640
23,12300
23,12620
23,30340
23,38860
24,12580
24,15700
24,19060
24,20660
24,25180
24,30500
24,36180
24,37980
24,41540
24,47900
25,11200
25,12700
25,14460
25,24640
25,34880
25,38340
25,39300
25,44140
25,47240
25,49340
26,10300
26,10940
26,10980
26,11460
26,12980
26,13020
26,13660
26,15620
26,17740
26,19820
26,21540
26,22420
26,24340
26,25880
26,26090
26,26340
26,27020
26,27100
26,28020
26,29620
26,31220
26,31940
26,32100
26,33220
26,33780
26,34380
26,34740
26,35660
26,37020
26,37950
26,40980
26,42300
26,43780
26,44780
26,45900
27,10660
27,10820
27,12380
27,13420
27,14660
27,19810
27,20260
27,21860
27,22020
27,22060
27,22260
27,24220
27,24330
27,26780
27,29100
27,31860
27,32140
27,33460
27,35580
27,36940
27,39860
27,40340
27,41060
27,43620
27,47420
27,48820
27,49100
27,49380
28,15020
28,17260
28,17380
28,18060
28,18420
28,24740
28,24900
28,24980
28,25060
28,25620
28,27140
28,29860
28,32620
28,32820
28,32940
28,35020
28,37060
28,38100
28,44260
28,46180
28,46980
29,14700
29,16020
29,17860
29,22100
29,22780
29,25300
29,27620
29,27900
29,28140
29,28380
29,28860
29,30060
29,32180
29,32340
29,33020
29,33620
29,38740
29,39500
29,40620
29,41140
29,41180
29,42740
29,43460
29,44180
29,47660
29,48460
30,13740
30,14580
30,15580
30,24500
30,25740
30,28060
30,33540
31,13100
31,18100
31,23340
31,24260
31,25580
31,28260
31,30420
31,30700
31,35740
31,35820
31,36540
31,42420
31,43580
32,16180
32,21220
32,21980
32,23820
32,29820
32,37220
32,39900
32,49080
33,14460
33,18180
33,28300
33,29060
33,30150
33,31700
34,10900
34,12100
34,35620
34,37980
34,45940
34,47220
35,10460
35,10740
35,16100
35,17580
35,19700
35,21580
35,22140
35,23700
35,26020
35,29740
35,29780
35,31060
35,40740
35,40760
35,42140
35,43500
35,45340
36,10580
36,11220
36,12180
36,12860
36,13780
36,15380
36,18500
36,18660
36,21300
36,24020
36,24100
36,26460
36,27060
36,27460
36,28740
36,28880
36,32390
36,33910
36,35620
36,36460
36,36580
36,38460
36,40380
36,42900
36,45060
36,46540
36,48060
37,10620
37,11360
37,11700
37,14380
37,14820
37,15500
37,16740
37,20500
37,21020
37,22180
37,22580
37,24140
37,24660
37,24780
37,25780
37,25860
37,27340
37,28620
37,28820
37,29900
37,31300
37,32000
37,33980
37,34340
37,35100
37,35900
37,38240
37,39580
37,40260
37,40460
37,40580
37,41820
37,43140
37,47260
37,47820
37,48200
37,48900
37,48980
37,49180
38,13900
38,19860
38,22020
38,24220
38,27420
38,33500
38,47420
38,48780
39,10420
39,11740
39,11900
